time (sec),channel 1 (V),channel 2 (V)
-0.049199994933999999,-1.4839199999999999,-2.5800000000000001
-0.048999994934,-1.4839199999999999,-2.5800000000000001
-0.048799994934000002,-1.4839199999999999,-2.5800000000000001
-0.048599994933999996,-1.4774399999999999,-2.5800000000000001
-0.048399994933999997,-1.4774399999999999,-2.5800000000000001
-0.048199994933999998,-1.4709599999999998,-2.5649999999999999
-0.047999994934,-1.4709599999999998,-2.5649999999999999
-0.047799994934000001,-1.4709599999999998,-2.5800000000000001
-0.047599994934000002,-1.4709599999999998,-2.5800000000000001
-0.047399994934000003,-1.46448,-2.5500000000000003
-0.047199994933999997,-1.46448,-2.5649999999999999
-0.046999994933999999,-1.458,-2.5500000000000003
-0.046799994934,-1.46448,-2.5500000000000003
-0.046599994934000001,-1.458,-2.5500000000000003
-0.046399994934000002,-1.458,-2.5500000000000003
-0.046199994933999997,-1.458,-2.5350000000000001
-0.045999994933999998,-1.458,-2.5350000000000001
-0.045799994933999999,-1.458,-2.5500000000000003
-0.045599994934,-1.458,-2.5350000000000001
-0.045399994934000001,-1.4515199999999999,-2.52
-0.045199994933999996,-1.4515199999999999,-2.5350000000000001
-0.044999994934000004,-1.4515199999999999,-2.52
-0.044799994933999998,-1.4515199999999999,-2.52
-0.044599994933999999,-1.4385599999999998,-2.52
-0.044399994934000001,-1.4450399999999999,-2.52
-0.044199994933999995,-1.4385599999999998,-2.5049999999999999
-0.043999994934000003,-1.4385599999999998,-2.52
-0.043799994933999997,-1.4385599999999998,-2.5049999999999999
-0.043599994933999998,-1.4385599999999998,-2.52
-0.043399994934,-1.4385599999999998,-2.5049999999999999
-0.043199994934000001,-1.4385599999999998,-2.5049999999999999
-0.042999994934000002,-1.43208,-2.4900000000000002
-0.042799994933999996,-1.43208,-2.4900000000000002
-0.042599994933999998,-1.43208,-2.4750000000000001
-0.042399994933999999,-1.43208,-2.4900000000000002
-0.042199994934,-1.4256,-2.4750000000000001
-0.041999994934000001,-1.4256,-2.4750000000000001
-0.041799994933999995,-1.4256,-2.4750000000000001
-0.041599994934000004,-1.4256,-2.4750000000000001
-0.041399994933999998,-1.4191199999999999,-2.4750000000000001
-0.041199994933999999,-1.4191199999999999,-2.4750000000000001
-0.040999994934,-1.4126399999999999,-2.4750000000000001
-0.040799994933999995,-1.4191199999999999,-2.4750000000000001
-0.040599994934000003,-1.4126399999999999,-2.46
-0.040399994933999997,-1.4126399999999999,-2.46
-0.040199994933999998,-1.4126399999999999,-2.4450000000000003
-0.039999994933999999,-1.4126399999999999,-2.46
-0.039799994934000001,-1.4126399999999999,-2.4300000000000002
-0.039599994934000002,-1.4126399999999999,-2.4450000000000003
-0.039399994933999996,-1.4061599999999999,-2.4300000000000002
-0.039199994934000004,-1.4061599999999999,-2.4450000000000003
-0.038999994933999999,-1.39968,-2.415
-0.038799994934,-1.39968,-2.4300000000000002
-0.038599994934000001,-1.39968,-2.415
-0.038399994933999995,-1.39968,-2.415
-0.038199994934000003,-1.3932,-2.415
-0.037999994933999998,-1.3932,-2.415
-0.037799994933999999,-1.3932,-2.415
-0.037599994934,-1.3932,-2.415
-0.037399994933999994,-1.3932,-2.4000000000000004
-0.037199994934000002,-1.3932,-2.415
-0.036999994933999997,-1.38672,-2.3850000000000002
-0.036799994933999998,-1.3932,-2.3850000000000002
-0.036599994933999999,-1.38672,-2.4000000000000004
-0.036399994934,-1.38672,-2.3850000000000002
-0.036199994934000002,-1.3802399999999999,-2.3850000000000002
-0.035999994933999996,-1.3802399999999999,-2.3850000000000002
-0.035799994934000004,-1.3802399999999999,-2.3700000000000001
-0.035599994933999998,-1.3802399999999999,-2.3700000000000001
-0.035399994933999999,-1.3737599999999999,-2.3700000000000001
-0.035199994934000001,-1.3737599999999999,-2.3700000000000001
-0.034999994933999995,-1.3672799999999998,-2.3700000000000001
-0.034799994934000003,-1.3672799999999998,-2.3700000000000001
-0.034599994933999997,-1.3737599999999999,-2.355
-0.034399994933999999,-1.3672799999999998,-2.3700000000000001
-0.034199994934,-1.3672799999999998,-2.3400000000000003
-0.033999994933999994,-1.3672799999999998,-2.355
-0.033799994934000002,-1.3672799999999998,-2.3400000000000003
-0.033599994933999996,-1.3672799999999998,-2.3400000000000003
-0.033399994933999998,-1.3608,-2.3250000000000002
-0.033199994933999999,-1.3608,-2.3250000000000002
-0.032999994934,-1.35432,-2.3400000000000003
-0.032799994934000001,-1.35432,-2.3100000000000001
-0.032599994933999996,-1.35432,-2.3250000000000002
-0.032399994934000004,-1.35432,-2.3100000000000001
-0.032199994933999998,-1.3478399999999999,-2.3100000000000001
-0.031999994933999999,-1.3478399999999999,-2.3100000000000001
-0.031799994934,-1.3478399999999999,-2.2800000000000002
-0.031599994933999995,-1.3478399999999999,-2.2800000000000002
-0.031399994933999996,-1.3478399999999999,-2.2650000000000001
-0.031199994933999997,-1.3478399999999999,-2.2650000000000001
-0.030999994933999998,-1.3413599999999999,-2.25
-0.030799994934,-1.3478399999999999,-2.25
-0.030599994934000001,-1.3413599999999999,-2.2200000000000002
-0.030399994934000002,-1.3413599999999999,-2.2200000000000002
-0.030199994933999996,-1.3478399999999999,-2.2050000000000001
-0.029999994933999997,-1.3413599999999999,-2.2050000000000001
-0.029799994933999999,-1.3348799999999998,-2.2050000000000001
-0.029599994934,-1.3348799999999998,-2.2050000000000001
-0.029399994934000001,-1.3284,-2.2050000000000001
-0.029199994933999995,-1.3284,-2.2050000000000001
-0.028999994933999997,-1.3348799999999998,-2.1899999999999999
-0.028799994933999998,-1.3284,-2.2050000000000001
-0.028599994933999999,-1.32192,-2.2050000000000001
-0.028399994934,-1.32192,-2.2050000000000001
-0.028199994934000001,-1.32192,-2.2200000000000002
-0.027999994933999996,-1.32192,-2.2200000000000002
-0.027799994933999997,-1.32192,-2.2050000000000001
-0.027599994933999998,-1.32192,-2.2200000000000002
-0.027399994933999999,-1.3154399999999999,-2.2050000000000001
-0.027199994934000001,-1.32192,-2.2050000000000001
-0.026999994934000002,-1.3154399999999999,-2.1899999999999999
-0.026799994933999996,-1.3154399999999999,-2.1899999999999999
-0.026599994933999997,-1.3089599999999999,-2.145
-0.026399994933999998,-1.3089599999999999,-2.1600000000000001
-0.026199994934,-1.3089599999999999,-2.1299999999999999
-0.025999994934000001,-1.3089599999999999,-2.1299999999999999
-0.025799994933999995,-1.3024799999999999,-2.1000000000000001
-0.025599994933999996,-1.3024799999999999,-2.1000000000000001
-0.025399994933999998,-1.2959999999999998,-2.085
-0.025199994933999999,-1.3024799999999999,-2.085
-0.024999994934,-1.2959999999999998,-2.1000000000000001
-0.024799994934000001,-1.2959999999999998,-2.085
-0.024599994933999995,-1.2959999999999998,-2.0700000000000003
-0.024399994933999997,-1.2959999999999998,-2.085
-0.024199994933999998,-1.2959999999999998,-2.085
-0.023999994933999999,-1.2959999999999998,-2.085
-0.023799994934,-1.28952,-2.1000000000000001
-0.023599994934000001,-1.28952,-2.1000000000000001
-0.023399994933999996,-1.28304,-2.1150000000000002
-0.023199994933999997,-1.28304,-2.1150000000000002
-0.022999994933999998,-1.28952,-2.1299999999999999
-0.022799994933999999,-1.28304,-2.1299999999999999
-0.022599994934000001,-1.2765599999999999,-2.145
-0.022399994933999995,-1.2765599999999999,-2.145
-0.022199994933999996,-1.2765599999999999,-2.1299999999999999
-0.021999994933999997,-1.2765599999999999,-2.145
-0.021799994933999998,-1.2765599999999999,-2.1299999999999999
-0.021599994934,-1.2765599999999999,-2.1299999999999999
-0.021399994934000001,-1.2765599999999999,-2.1299999999999999
-0.021199994933999995,-1.2765599999999999,-2.1299999999999999
-0.020999994933999996,-1.2635999999999998,-2.1150000000000002
-0.020799994933999998,-1.2700799999999999,-2.1150000000000002
-0.020599994933999999,-1.2700799999999999,-2.1000000000000001
-0.020399994934,-1.2700799999999999,-2.1150000000000002
-0.020199994934000001,-1.2635999999999998,-2.1000000000000001
-0.019999994933999996,-1.2635999999999998,-2.1000000000000001
-0.019799994933999997,-1.25712,-2.1000000000000001
-0.019599994933999998,-1.25712,-2.1000000000000001
-0.019399994933999999,-1.2635999999999998,-2.1000000000000001
-0.019199994934,-1.25712,-2.1000000000000001
-0.018999994934000002,-1.25064,-2.085
-0.018799994933999996,-1.25712,-2.085
-0.018599994933999997,-1.25064,-2.0700000000000003
-0.018399994933999998,-1.25064,-2.0700000000000003
-0.018199994933999999,-1.25064,-2.0550000000000002
-0.017999994934000001,-1.25064,-2.0700000000000003
-0.017799994933999995,-1.25064,-2.0550000000000002
-0.017599994933999996,-1.2441599999999999,-2.0550000000000002
-0.017399994933999997,-1.25064,-2.04
